City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
310,Chokwe,MZ,2021-03-12 23:02:56,-24.5333,32.9833,67.8,92,0,2.42
311,Lewisville,US,2021-03-12 23:01:57,33.0462,-96.9942,78.8,61,90,16.11
312,Mahebourg,MU,2021-03-12 23:01:04,-20.4081,57.7,78.8,73,40,6.91
313,Alta Floresta,BR,2021-03-12 23:02:57,-9.8756,-56.0861,73.42,93,93,1.92
314,Plainfield,US,2021-03-12 23:01:52,40.6168,-74.4173,62.6,19,1,20.71
315,Ushuaia,AR,2021-03-12 23:01:15,-54.8,-68.3,51.8,71,75,31.07
316,Ilulissat,GL,2021-03-12 23:02:33,69.2167,-51.1,8.6,66,44,3.53
317,Qaanaaq,GL,2021-03-12 23:01:32,77.484,-69.3632,-2.07,78,99,1.59
318,Busselton,AU,2021-03-12 23:01:14,-33.65,115.3333,46.0,87,0,11.7
319,Busselton,AU,2021-03-12 23:01:14,-33.65,115.3333,46.0,87,0,11.7
320,Ushuaia,AR,2021-03-12 23:01:15,-54.8,-68.3,51.8,71,75,31.07
321,Richards Bay,ZA,2021-03-12 23:03:00,-28.783,32.0377,72.28,95,3,6.38
322,Dharur,IN,2021-03-12 23:03:00,18.8167,76.1167,73.92,21,15,8.46
323,Raudeberg,NO,2021-03-12 23:03:01,61.9875,5.1352,39.99,85,81,17.87
324,Punta Arenas,CL,2021-03-12 23:01:19,-53.15,-70.9167,55.4,67,75,24.16
325,Hamilton,US,2021-03-12 23:02:51,39.1834,-84.5333,57.99,33,1,9.22
326,Ushuaia,AR,2021-03-12 23:01:15,-54.8,-68.3,51.8,71,75,31.07
327,Necochea,AR,2021-03-12 23:01:43,-38.5473,-58.7368,66.0,60,12,3.0
328,Peniche,PT,2021-03-12 23:03:02,39.3558,-9.3811,51.01,85,99,1.01
329,Punta Arenas,CL,2021-03-12 23:01:19,-53.15,-70.9167,55.4,67,75,24.16
330,Codrington,AU,2021-03-12 23:01:45,-38.2667,141.9667,63.03,94,100,13.22
331,Georgetown,MY,2021-03-12 23:01:15,5.4112,100.3354,77.0,94,20,3.44
332,Cape Town,ZA,2021-03-12 22:56:26,-33.9258,18.4232,66.0,94,0,4.61
333,Qaqortoq,GL,2021-03-12 23:03:04,60.7167,-46.0333,14.0,62,75,10.36
334,Rundu,NA,2021-03-12 23:03:04,-17.9333,19.7667,68.09,60,0,3.62
335,Ushuaia,AR,2021-03-12 23:01:15,-54.8,-68.3,51.8,71,75,31.07
336,Mayumba,GA,2021-03-12 23:03:05,-3.432,10.6554,77.74,87,100,8.43
337,Busselton,AU,2021-03-12 23:01:14,-33.65,115.3333,46.0,87,0,11.7
338,Mahebourg,MU,2021-03-12 23:01:04,-20.4081,57.7,78.8,73,40,6.91
339,Mugumu,TZ,2021-03-12 23:02:03,-1.85,34.7,60.85,65,54,5.97
340,Tasiilaq,GL,2021-03-12 23:01:21,65.6145,-37.6368,15.8,86,90,2.3
341,Chamba,IN,2021-03-12 23:03:06,32.5667,76.1333,55.94,38,4,10.29
342,Soria,ES,2021-03-12 23:03:06,41.6667,-2.6667,41.0,65,0,5.68
343,Busselton,AU,2021-03-12 23:01:14,-33.65,115.3333,46.0,87,0,11.7
344,Jamestown,US,2021-03-12 22:57:57,42.097,-79.2353,46.4,36,1,16.89
345,Blagoyevo,RU,2021-03-12 23:03:07,63.3667,47.9167,9.82,89,26,8.7
346,Jamestown,US,2021-03-12 22:57:57,42.097,-79.2353,46.4,36,1,16.89
