City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2034,Gendringen,NL,43.0,overcast clouds,51.8733,6.3764,Romantik Parkhotel Wasserburg Anholt
2035,Mataura,NZ,66.0,scattered clouds,-46.1927,168.8643,Ellie's Villa
2036,Cape Town,ZA,68.0,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
2037,Cabo San Lucas,MX,53.01,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
2038,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
2040,Hobart,AU,59.0,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
2043,Pacific Grove,US,50.0,scattered clouds,36.6177,-121.9166,Lovers Point Inn
2044,Hermanus,ZA,69.01,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
2049,Guerrero Negro,MX,54.28,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
2053,Mataura,NZ,66.0,scattered clouds,-46.1927,168.8643,Ellie's Villa
2055,Hamilton,US,37.4,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
2056,Panaba,MX,65.55,clear sky,21.2833,-88.2667,Posada rosario
