City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1078,Mar Del Plata,AR,-38.0023,-57.5575,69.01,82,0,11.86,clear sky
1079,Buraydah,SA,26.326,43.975,59,51,4,4.61,dust
1080,Schneverdingen,DE,53.1167,9.8,39.2,93,100,19.57,overcast clouds
1081,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
1082,Novo Aripuana,BR,-5.1206,-60.3797,73.87,98,100,2.24,overcast clouds
1083,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
1084,Kostomuksha,RU,64.571,30.5767,23.85,97,97,4.99,overcast clouds
1085,Domoni,KM,-12.2569,44.5319,79.84,82,100,5.39,overcast clouds
1086,Lufilufi,WS,-13.8745,-171.5986,89.6,74,75,6.91,broken clouds
1087,Darhan,MN,49.4867,105.9228,39.38,45,100,3.91,overcast clouds
1088,Punta Arenas,CL,-53.15,-70.9167,48,53,40,12.66,scattered clouds
1089,San Matias,BO,-16.3667,-58.4,78.08,76,100,3.78,overcast clouds
1090,Talnakh,RU,69.4865,88.3972,-21.21,98,100,8.66,light snow
1091,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
1092,Georgetown,MY,5.4112,100.3354,78.8,88,20,2.3,few clouds
1093,Ilhabela,BR,-23.7781,-45.3581,76.71,93,41,7.16,scattered clouds
1094,Saint-Philippe,RE,-21.3585,55.7679,77,69,0,9.22,light rain
1095,Sechelt,CA,49.4664,-123.7694,51.01,78,100,1.01,overcast clouds
1096,Mehamn,NO,71.0357,27.8492,22.42,85,100,5.73,overcast clouds
1097,The Pas,CA,53.8251,-101.2541,33.8,47,1,4.61,clear sky
1098,Amos,CA,48.5669,-78.1162,23,93,90,4.61,light snow
1099,Sorong,ID,-0.8833,131.25,81.68,73,100,5.82,overcast clouds
1100,Antofagasta,CL,-23.65,-70.4,68,83,20,10.36,few clouds
1101,Junin,AR,-34.5838,-60.9433,72,24,0,11.18,clear sky
1102,Chokurdakh,RU,70.6333,147.9167,-16.38,87,0,4.05,clear sky
1103,Saldanha,ZA,-33.0117,17.9442,68,88,99,3.44,overcast clouds
1104,Port Alfred,ZA,-33.5906,26.891,72,81,68,5.01,broken clouds
1105,Avarua,CK,-21.2078,-159.775,84.2,70,7,5.75,clear sky
1106,Hilo,US,19.7297,-155.09,71.6,83,90,3.44,light rain
1107,Saint-Philippe,RE,-21.3585,55.7679,77,69,0,9.22,light rain
1108,Avarua,CK,-21.2078,-159.775,84.2,70,7,5.75,clear sky
1109,Sitka,US,57.0531,-135.33,33.8,55,20,9.22,few clouds
1110,Provideniya,RU,64.3833,-173.3,23.22,94,100,28.32,snow
1111,Hermanus,ZA,-34.4187,19.2345,64.99,93,34,1.99,light rain
1112,Kismayo,SO,-0.3582,42.5454,77.11,83,1,11.72,clear sky
1113,Atuona,PF,-9.8,-139.0333,79.39,63,36,4.83,scattered clouds
1114,Chokurdakh,RU,70.6333,147.9167,-16.38,87,0,4.05,clear sky
1115,Nikolskoye,RU,59.7035,30.7861,36,87,75,6.71,broken clouds
1116,Longyearbyen,SJ,78.2186,15.6401,5,61,75,10.36,broken clouds
1117,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
1118,Port Alfred,ZA,-33.5906,26.891,72,81,68,5.01,broken clouds
1119,Camacha,PT,33.0833,-16.3333,59,67,75,14.97,broken clouds
1120,Saint-Philippe,RE,-21.3585,55.7679,77,69,0,9.22,light rain
1121,San Patricio,US,28.017,-97.5169,77,78,90,25.32,overcast clouds
1122,Saint-Philippe,RE,-21.3585,55.7679,77,69,0,9.22,light rain
1123,Mataura,NZ,-46.1927,168.8643,73,46,0,14,clear sky
1124,Qaanaaq,GL,77.484,-69.3632,-1.71,63,99,7.4,overcast clouds
1125,Jamestown,US,42.097,-79.2353,34,47,1,7.65,clear sky
1126,Portland,US,45.5234,-122.6762,63,34,75,4.61,broken clouds
1127,Port Alfred,ZA,-33.5906,26.891,72,81,68,5.01,broken clouds
1128,New Norfolk,AU,-42.7826,147.0587,59,55,3,8.39,clear sky
1129,Bredasdorp,ZA,-34.5322,20.0403,66.2,88,57,9.22,broken clouds
1130,Albany,US,42.6001,-73.9662,36,43,34,4.59,scattered clouds
1131,Ambilobe,MG,-13.2,49.05,72.95,94,85,2.01,overcast clouds
1132,Tasiilaq,GL,65.6145,-37.6368,24.8,86,75,27.63,snow
1133,Gazojak,TM,41.1875,61.4036,17.82,72,99,9.08,overcast clouds
1134,Bundaberg,AU,-24.85,152.35,82.4,65,40,5.75,scattered clouds
1135,Nome,US,64.5011,-165.4064,10.4,67,1,26.46,clear sky
1136,Carnarvon,AU,-24.8667,113.6333,86,62,1,12.66,clear sky
1137,Port Elizabeth,ZA,-33.918,25.5701,71.6,68,40,8.05,light rain
1138,Palana,RU,59.1167,159.9667,3.43,90,100,19.62,overcast clouds
1139,Punta Arenas,CL,-53.15,-70.9167,48,53,40,12.66,scattered clouds
1140,Faanui,PF,-16.4833,-151.75,83.26,74,0,12.37,clear sky
1141,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
1142,Port Alfred,ZA,-33.5906,26.891,72,81,68,5.01,broken clouds
1143,Cape Town,ZA,-33.9258,18.4232,66.99,94,75,6.91,broken clouds
1144,Cape Town,ZA,-33.9258,18.4232,66.99,94,75,6.91,broken clouds
1145,Kindu,CD,-2.95,25.95,68.29,97,100,1.79,overcast clouds
1146,Jamestown,US,42.097,-79.2353,34,47,1,7.65,clear sky
1147,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
1148,Saint-Pierre,RE,-21.3393,55.4781,77,69,0,9.22,light rain
1149,Ribeira Grande,PT,38.5167,-28.7,61.81,84,93,27.76,overcast clouds
1150,Bluff,NZ,-46.6,168.3333,73,46,4,14,clear sky
1151,Jamestown,US,42.097,-79.2353,34,47,1,7.65,clear sky
1152,Hobart,AU,-42.8794,147.3294,59,38,0,17.27,clear sky
1153,Pelileo,EC,-1.3167,-78.5333,69.8,87,75,3.44,light rain
1154,Flin Flon,CA,54.7682,-101.865,30.2,43,20,5.75,few clouds
1155,Chokurdakh,RU,70.6333,147.9167,-16.38,87,0,4.05,clear sky
1156,Hermanus,ZA,-34.4187,19.2345,64.99,93,34,1.99,light rain
1157,Nunoa,PE,-14.48,-70.6411,42.71,89,100,4.32,overcast clouds
1158,Saskylakh,RU,71.9167,114.0833,-5.89,95,59,11.88,broken clouds
1159,Atuona,PF,-9.8,-139.0333,79.39,63,36,4.83,scattered clouds
1160,Gadung,PH,6.8025,124.02,82.09,66,7,2.89,clear sky
1161,Abha,SA,18.2164,42.5053,64.4,31,8,1.39,dust
1162,Narsaq,GL,60.9167,-46.05,24.8,58,75,2.57,broken clouds
1163,Bambous Virieux,MU,-20.3428,57.7575,80.6,83,75,8.05,light rain
1164,Busselton,AU,-33.65,115.3333,60.01,71,0,4,clear sky
1165,Upernavik,GL,72.7868,-56.1549,-6.07,99,46,5.03,scattered clouds
1166,New Norfolk,AU,-42.7826,147.0587,59,55,3,8.39,clear sky
1167,Chokurdakh,RU,70.6333,147.9167,-16.38,87,0,4.05,clear sky
1168,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
1169,Kapaa,US,22.0752,-159.319,73,94,90,25.32,moderate rain
1170,Kruisfontein,ZA,-34.0033,24.7314,68,85,89,1.01,overcast clouds
1171,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
1172,Gumia,IN,23.7833,85.8167,69.21,49,0,2.53,clear sky
1173,Hilo,US,19.7297,-155.09,71.6,83,90,3.44,light rain
1174,Busselton,AU,-33.65,115.3333,60.01,71,0,4,clear sky
1175,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
1176,Kodiak,US,57.79,-152.4072,35.6,20,1,13.8,clear sky
1177,Atuona,PF,-9.8,-139.0333,79.39,63,36,4.83,scattered clouds
1178,Vaini,TO,-21.2,-175.2,78.8,83,75,8.05,light rain
1179,Sola,VU,-13.8833,167.55,80.6,89,90,10.85,overcast clouds
1180,Makat,KZ,47.6469,53.3463,13.64,63,24,9.6,few clouds
1181,Punta Arenas,CL,-53.15,-70.9167,48,53,40,12.66,scattered clouds
1182,Busselton,AU,-33.65,115.3333,60.01,71,0,4,clear sky
1183,Vaini,TO,-21.2,-175.2,78.8,83,75,8.05,light rain
1184,La Peca,PE,-5.6111,-78.435,70.11,84,99,4.07,light rain
1185,Punta Arenas,CL,-53.15,-70.9167,48,53,40,12.66,scattered clouds
1186,Punta Arenas,CL,-53.15,-70.9167,48,53,40,12.66,scattered clouds
1187,Kouroussa,GN,10.65,-9.8833,78.78,18,100,3.24,overcast clouds
1188,Punta Arenas,CL,-53.15,-70.9167,48,53,40,12.66,scattered clouds
1189,Norman Wells,CA,65.282,-126.8329,-2.2,60,75,2.3,broken clouds
1190,Hithadhoo,MV,-0.6,73.0833,84.34,65,31,8.16,scattered clouds
1191,Aklavik,CA,68.2191,-135.0107,-2.2,60,1,5.75,clear sky
1192,Albany,US,42.6001,-73.9662,36,43,34,4.59,scattered clouds
1193,Tasiilaq,GL,65.6145,-37.6368,24.8,86,75,27.63,snow
1194,Scottsbluff,US,41.8666,-103.6672,33.8,86,90,11.5,snow
1195,Nikolskoye,RU,59.7035,30.7861,36,87,75,6.71,broken clouds
1196,Ostrovnoy,RU,68.0531,39.5131,11.16,92,78,12.55,broken clouds
1197,Poronaysk,RU,49.2167,143.1167,32.36,94,0,5.19,clear sky
1198,Sitka,US,57.0531,-135.33,33.8,55,20,9.22,few clouds
1199,East London,ZA,-33.0153,27.9116,75.61,73,20,13.27,few clouds
1200,Arrifes,PT,37.7667,-25.7,59,100,75,18.41,broken clouds
1201,Hermanus,ZA,-34.4187,19.2345,64.99,93,34,1.99,light rain
1202,Mataura,NZ,-46.1927,168.8643,73,46,0,14,clear sky
1203,Tuatapere,NZ,-46.1333,167.6833,73,46,11,14,few clouds
1204,West Sacramento,US,38.5805,-121.5302,64.99,48,1,12.66,clear sky
1205,Vardo,NO,70.3705,31.1107,25.66,88,100,7.11,overcast clouds
1206,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
1207,Ponta Do Sol,PT,32.6667,-17.1,57.99,73,97,1.01,overcast clouds
1208,Hermanus,ZA,-34.4187,19.2345,64.99,93,34,1.99,light rain
1209,Ndioum,SN,16.5129,-14.6471,73.4,35,0,9.78,clear sky
1210,Punta Arenas,CL,-53.15,-70.9167,48,53,40,12.66,scattered clouds
1211,Punta Arenas,CL,-53.15,-70.9167,48,53,40,12.66,scattered clouds
1212,Rawson,AR,-43.3002,-65.1023,61.97,76,12,21.39,few clouds
1213,Ischia,IT,40.7342,13.9471,55.99,82,94,1.99,overcast clouds
1214,Chizhou,CN,30.6578,117.4831,58.6,76,0,1.01,clear sky
1215,Hermanus,ZA,-34.4187,19.2345,64.99,93,34,1.99,light rain
1216,Cherskiy,RU,68.75,161.3,-4.23,96,100,15.26,light snow
1217,Waqqas,JO,32.5427,35.6053,52.66,87,6,2.86,clear sky
1218,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
1219,Ancud,CL,-41.8697,-73.8203,57,82,0,4.61,clear sky
1220,Stawell,AU,-37.05,142.7667,59.25,43,0,11.99,clear sky
1221,Aklavik,CA,68.2191,-135.0107,-2.2,60,1,5.75,clear sky
1222,Lata,PT,40.1629,-8.3327,52,89,0,1.01,clear sky
1223,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,84,90,4.61,overcast clouds
1224,Bonavista,CA,48.6499,-53.1147,32,64,100,3.44,snow
1225,Hermanus,ZA,-34.4187,19.2345,64.99,93,34,1.99,light rain
1226,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.27,94,4,2.24,clear sky
1227,Barrow,US,71.2906,-156.7887,-2.2,65,1,12.66,clear sky
1228,La Paz,BO,-16.5,-68.15,48.2,71,40,6.91,scattered clouds
1229,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,84,90,4.61,overcast clouds
1230,Leningradskiy,RU,69.3833,178.4167,23.27,84,100,4.97,overcast clouds
1231,Jalu,LY,29.0331,21.5482,58.8,41,52,6.78,broken clouds
1232,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
1233,Udachnyy,RU,66.4167,112.4,3.74,88,100,14.63,overcast clouds
1234,Beyneu,KZ,45.3167,55.2,22.01,52,2,7.58,clear sky
1235,Santiago Del Estero,AR,-27.7951,-64.2615,72.55,65,50,4.99,scattered clouds
1236,Sao Filipe,CV,14.8961,-24.4956,70.43,76,0,5.66,clear sky
1237,Ukiah,US,39.1502,-123.2078,62.6,42,1,9.22,clear sky
1238,Barrow,US,71.2906,-156.7887,-2.2,65,1,12.66,clear sky
1239,Upernavik,GL,72.7868,-56.1549,-6.07,99,46,5.03,scattered clouds
1240,Hithadhoo,MV,-0.6,73.0833,84.34,65,31,8.16,scattered clouds
1241,Busselton,AU,-33.65,115.3333,60.01,71,0,4,clear sky
1242,Bethel,US,41.3712,-73.414,39.99,33,0,1.01,clear sky
1243,Atuona,PF,-9.8,-139.0333,79.39,63,36,4.83,scattered clouds
1244,Katsuura,JP,35.1333,140.3,59,33,20,32.21,few clouds
1245,Upernavik,GL,72.7868,-56.1549,-6.07,99,46,5.03,scattered clouds
1246,Olinda,BR,-8.0089,-34.8553,80.6,61,40,9.22,scattered clouds
1247,Saldanha,ZA,-33.0117,17.9442,68,88,99,3.44,overcast clouds
1248,Husavik,IS,66.0449,-17.3389,21.2,79,0,9.22,clear sky
1249,Atuona,PF,-9.8,-139.0333,79.39,63,36,4.83,scattered clouds
1250,Mataura,NZ,-46.1927,168.8643,73,46,0,14,clear sky
1251,Cape Town,ZA,-33.9258,18.4232,66.99,94,75,6.91,broken clouds
1252,Mataura,NZ,-46.1927,168.8643,73,46,0,14,clear sky
1253,Flin Flon,CA,54.7682,-101.865,30.2,43,20,5.75,few clouds
1254,Bacolod,PH,10.6667,122.95,82.24,75,50,2.98,scattered clouds
1255,Ponta Do Sol,PT,32.6667,-17.1,57.99,73,97,1.01,overcast clouds
1256,Palana,RU,59.1167,159.9667,3.43,90,100,19.62,overcast clouds
1257,Hilo,US,19.7297,-155.09,71.6,83,90,3.44,light rain
1258,Saskylakh,RU,71.9167,114.0833,-5.89,95,59,11.88,broken clouds
1259,Inhambane,MZ,-23.865,35.3833,75.06,82,41,9.53,scattered clouds
1260,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
1261,Coquimbo,CL,-29.9533,-71.3436,60.8,88,0,6.91,clear sky
1262,Kursk,RU,51.7303,36.1939,32.13,94,100,10.42,overcast clouds
1263,Puerto Ayora,EC,-0.7393,-90.3518,80.01,88,75,8.01,light rain
1264,Busselton,AU,-33.65,115.3333,60.01,71,0,4,clear sky
1265,Carauari,BR,-4.8828,-66.8958,73.63,95,89,1.57,overcast clouds
1266,Enkoping,SE,59.6361,17.0777,32,86,75,4.61,broken clouds
1267,Gwanda,ZW,-20.9333,29,61.45,88,4,5.66,clear sky
1268,Cape Town,ZA,-33.9258,18.4232,66.99,94,75,6.91,broken clouds
1269,Mar Del Plata,AR,-38.0023,-57.5575,69.01,82,0,11.86,clear sky
1270,Abu Dhabi,AE,24.4667,54.3667,68,77,20,6.91,few clouds
1271,Severo-Kurilsk,RU,50.6789,156.125,31.89,92,41,20.58,snow
1272,Sao Filipe,CV,14.8961,-24.4956,70.43,76,0,5.66,clear sky
1273,Saskylakh,RU,71.9167,114.0833,-5.89,95,59,11.88,broken clouds
1274,Mount Isa,AU,-20.7333,139.5,84.2,58,0,12.66,clear sky
1275,Esperance,AU,-33.8667,121.9,60.8,63,53,6.91,broken clouds
1276,Sorland,NO,67.667,12.6934,41.67,85,100,10.33,overcast clouds
1277,Saldanha,ZA,-33.0117,17.9442,68,88,99,3.44,overcast clouds
1278,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
1279,Albany,US,42.6001,-73.9662,36,43,34,4.59,scattered clouds
1280,Wanaka,NZ,-44.7,169.15,70.29,39,0,11.12,clear sky
1281,Mount Gambier,AU,-37.8333,140.7667,59,51,40,8.05,scattered clouds
1282,East London,ZA,-33.0153,27.9116,75.61,73,20,13.27,few clouds
1283,Kerema,PG,-7.9631,145.7785,80.62,81,96,14.72,overcast clouds
1284,Kloulklubed,PW,7.0419,134.2556,82.4,89,75,4.61,broken clouds
